Stock_code,Sector,Name,volatility_mean,volatility_max,volatility_7d,downside_deviation,var_95,max_drawdown,mean_return,std_return,return_skew,return_kurtosis,return_consistency,sharpe_ratio,rsi_mean,bb_width_mean,macd_volatility,avg_volume,volume_volatility,amihud_illiquidity,trading_frequency,momentum_30d,momentum_90d,trend_strength,current_price
ABSA,Banking,ABSA Bank Kenya Plc,0.012540794730794738,0.028603472974785965,0.011134693557669726,0.007830092188192878,-0.018082587412926628,-0.2362204724409449,0.0007426386293753021,0.01363777278174811,-1.5090056469187043,13.848163674169975,18.363939614649542,0.0471219630175369,54.16546977964459,2.2964150948035837,0.17601035119966355,457918.016194332,1206788.5556105915,3.4649278272858364e-09,1.0,0.16077170418006426,0.2801418439716312,0.16677440206744165,18.05
BAMB,Construction and Allied,Bamburi Cement Ltd,0.02415674277520706,0.07299158890383685,0.021977522976105383,0.013722889617399984,-0.03142850584978064,-0.5145631067961165,0.0009007750097960068,0.02800734241164681,1.115420465484602,24.83246772552654,31.09249146325709,0.028591609841705105,50.386043049095484,3.8678921084070517,1.282149741514605,233655.66735112938,4414206.000472162,1.904102852019652e-08,0.9858299595141701,-0.17602996254681647,-0.12698412698412698,-0.09415814351813478,55.0
BAT,Manufacturing and Allied,British American Tobacco Kenya Plc,0.012213282160988825,0.024126353319117215,0.010576442047128551,0.007299240879426542,-0.016279724308429323,-0.3482318271119843,0.00012557438169524576,0.013762137756787876,-0.16061497498728697,14.04335701774826,109.59342671377244,0.0018583145991835674,48.70140895751188,1.7524099584267356,5.776190906150599,19173.61111111111,56489.447012140015,1.622817488987207e-09,0.9473684210526315,0.05915492957746471,0.08201438848920861,0.06657589425011594,376.0
BKG,Banking,BK Group Plc,0.028502369491367786,0.05446158556334499,0.025778184852516317,0.01717321572745173,-0.04456872643660324,-0.39249999999999996,0.0019225471496631653,0.038371699996179495,0.22911162480692943,0.9916897743596782,19.958781248628508,0.047497169661362706,52.0369320935335,3.561992077610231,0.5760504161119913,86221.11486486487,545481.1244213117,0.0,0.5991902834008097,-0.012139605462822667,-0.013636363636363669,-0.028358208955139314,32.55
BOC,Manufacturing and Allied,BOC Kenya Plc,0.026052631560959133,0.052720659877447465,0.021543759870754773,0.015936848999707327,-0.03558155287751972,-0.30294906166219837,0.001757578565633868,0.0427062826931928,0.22834915949621243,0.6660546213503062,24.298362018288863,0.03881345922005834,48.10636434938446,3.670977761931891,1.4502469249918508,10246.268656716418,75668.26733712731,0.0,0.4068825910931174,-0.002808988764044895,0.05341246290801194,0.042829445978446776,88.75
BRIT,Insurance,Britam Holdings Plc,0.023618760854439178,0.04232313506129528,0.02308531998139973,0.013508620252353432,-0.03612718363671662,-0.5167064439140812,0.00010881658888944157,0.02452947152748082,0.27555785953316453,1.5698002374346127,225.4201242274787,0.0003594284060959626,48.89506612251805,2.9434629794137006,0.09065703575484899,284283.3839918946,5581116.829045947,8.629419503264745e-08,0.9989878542510121,-0.02684563758389269,0.028368794326241176,0.0,5.8
CABL,Construction and Allied,East African Cables Ltd,0.03378382939045435,0.0500320511078489,0.03328066956300642,0.019837510698826187,-0.054948891961739854,-0.5437500000000001,0.0003192520780891647,0.0342001199812293,0.09922382113239879,0.5405609684594057,107.12572169727679,0.006410856966829803,49.46336720891448,4.045864014277158,0.021962329176626265,19543.48268839104,32926.37778461972,1.3217442794907442e-06,0.9939271255060729,-0.027027027027027084,0.16129032258064524,0.02505694760582221,1.08
CARB,Manufacturing and Allied,Carbacid Investments Plc,0.02177838814236651,0.04000432725089726,0.02037889405569985,0.012724690399442816,-0.03183595766777819,-0.3049792531120332,0.0008202078125180536,0.02292154817730213,0.17902568165674715,2.81842026233828,27.946021767740024,0.03142055692770253,51.76062917374573,3.0015461979550837,0.29325372481253836,46457.42067553736,280001.09764257213,4.5179362067407425e-08,0.9888663967611336,0.05012531328320802,0.23235294117647065,0.03620536155882754,20.95
CGEN,Automobiles and Accessories,Car and General (K) Ltd,0.03625082904113124,0.07645777058280573,0.031766698218706285,0.02186020718466756,-0.06021622678726061,-0.7519736842105263,0.0008828369097124322,0.04919687392029904,0.12820974293791187,-0.1327560973735391,55.72588527561164,0.01591233031166629,49.95268550402939,5.987933564915192,1.7864986701608994,1480.7355516637479,5138.128557368876,0.0,0.5779352226720648,0.008869179600886845,0.022471910112359605,0.05745096216390516,22.75
CIC,Insurance,CIC Insurance Group Ltd,0.025869057128300454,0.045611418232348884,0.02457691013568543,0.014773797759743319,-0.040595262710836605,-0.504424778761062,0.0003640412346890763,0.026326090432004474,0.24819118090966577,1.427572002087885,72.316212263339,0.01002964091337766,49.8404611966822,3.287739982641578,0.04364217531853806,125437.24696356275,348957.86356867675,1.024610992092305e-07,1.0,-0.04867256637168138,0.023809523809523725,0.0032664489032540704,2.15
